rating,num_reviews,name,tags,directions,ingredients
,,Tequila Cooler,,Pour tequila into a glass with ice. Fill it with club soda or ginger ale. Add sugar and stir.,"[(u'2', u'Tequila', 'oz.'), (u'1/2', u'Sugar', 'tsp.'), (None, u'  Club Soda / Carbonated Water', None)]"
,,Tequila Daisy,,Pour all ingredients into a shaker with ice. Shake and strain into an old-fashioned glass with ice.,"[(u'2', u'Tequila', 'oz.'), (u'1/2', u'Lemon Juice', 'oz.'), (None, u'Splash of  Grenadine', None), (u'1/2', u'Sugar', 'tsp.')]"
,,Tequila Collins,,Pour tequila into a glass with ice. Fill it with Collins mix.,"[(u'2', u'Tequila', 'oz.'), (None, u'  Collins Mix', None)]"
,,Tequila And Coke,,Pour tequila into a glass with ice. Fill it with cola.,"[(u'2', u'Tequila', 'oz.'), (None, u'  Cola', None)]"
,,Tennessee Waltz,,Blend all ingredients. Pour into a highball glass.,"[(u'1 1/2', u'Peach Schnapps', 'oz.'), (u'2', u'Pineapple Juice', 'oz.'), (u'1', u'Passion Fruit Juice', 'oz.'), (None, u'1 Scoop of  Vanilla Ice Cream', None)]"
,,Tequila And Seven,,Pour tequila into a glass with ice. Fill it with lemon-lime soda.,"[(u'2', u'Tequila', 'oz.'), (None, u'  Lemon-Lime Soda', None)]"
,,Tequila And Soda,,Pour tequila into a glass with ice. Fill it with club soda.,"[(u'2', u'Tequila', 'oz.'), (None, u'  Club Soda / Carbonated Water', None)]"
,,Tennessee Tea,,"Pour Jack Daniel's, triple sec and sweet and sour mix in a glass with ice. Fill it with cola.","[(u'1', u""Jack Daniel's\xae Tennessee Whiskey"", 'oz.'), (u'1', u'Triple Sec', 'oz.'), (u'1', u'Sweet & Sour Mix', 'oz.'), (None, u'  Cola', None)]"
,,Ten Quidder,,"Pour gin, triple sec and bitters into a glass with ice and stir. Pour blue curacao into the center of the drink.","[(u'1 1/2', u'Gin', 'oz.'), (u'1', u'Triple Sec', 'oz.'), (None, u'Dash of  Bitters', None), (None, u'Splash of  Blue Curacao', None)]"
,,Tempter Cocktail,,Pour all ingredients into a shaker with ice. Shake and strain into a chilled martini glass.,"[(u'1 1/2', u'Port', 'oz.'), (u'1 1/2', u'Apricot Brandy', 'oz.')]"
,,Tequila Canyon,,Pour all ingredients into a collins glass with ice.,"[(u'1 1/2', u'Tequila', 'oz.'), (u'1/2', u'Triple Sec', 'oz.'), (u'4', u'Cranberry Juice', 'oz.'), (u'1/2', u'Pineapple Juice', 'oz.'), (u'1/2', u'Orange Juice', 'oz.')]"
,,Tastes Like Pussy,,Pour all ingredients except the club soda into a shaker with ice. Shake and strain into a shot glass. Add the splash of club soda.,"[(u'1 1/2', u'Vodka', 'oz.'), (u'1/2', u'Triple Sec', 'oz.'), (u'1/2', u'Lime Juice', 'oz.'), (None, u'Splash of  Cranberry Juice', None), (None, u'Splash of  Club Soda / Carbonated Water', None)]"
,,Tea Toddy,,Pour rum or brandy into an Irish coffee mug. Fill it with hot tea. Add honey or sugar and stir.,"[(u'2', u'Rum (Light)', 'oz.'), (None, u'  Hot Tea', None), (u'1', u'Honey', 'tsp.')]"
,,Tanq-A-Rita,,Pour all ingredients into a shaker with ice. Shake and strain into a chilled martini glass.,"[(u'1', u'Tanqueray\xae Gin', 'oz.'), (u'2', u'Margarita Mix', 'oz.'), (None, u'Splash of  Triple Sec', None)]"
,,Teacher's Pet,,Pour all ingredients into a shaker with ice. Shake and pour into an old-fashioned glass.,"[(u'1 1/2', u'Whiskey', 'oz.'), (u'1/2', u'Vermouth (Dry)', 'oz.'), (None, u'Splash of  Vermouth (Sweet)', None), (None, u'2 Dashes of  Bitters', None)]"
,,Tartan Swizzle,,"Pour Scotch, lime juice, sugar and bitters into a shaker with ice. Shake and strain into a glass with crushed ice. Fill it with club soda.","[(u'2', u'Scotch Whisky', 'oz.'), (u'1 1/2', u'Lime Juice', 'oz.'), (u'1', u'Sugar', 'tsp.'), (None, u'Dash of  Bitters', None), (None, u'  Club Soda / Carbonated Water', None)]"
,,Tartantula,,Pour all ingredients into a shaker with ice. Shake and strain into a chilled martini glass.,"[(u'1 1/2', u'Scotch Whisky', 'oz.'), (u'1', u'Vermouth (Sweet)', 'oz.'), (u'1/2', u'B\xe9n\xe9dictine\xae', 'oz.')]"
,,Tannersworth,,Pour all ingredients into a shaker with ice. Shake and strain into a chilled martini glass.,"[(u'1', u'Dubonnet', 'oz.'), (u'1/2', u'Gin', 'oz.'), (u'1/2', u'Vermouth (Dry)', 'oz.')]"
,,Tanqueray And Tonic (T.N.T.),,Pour Tanqueray into a glass with ice. Fill it with tonic water.,"[(u'2', u'Tanqueray\xae Gin', 'oz.'), (None, u'  Tonic Water', None)]"
,,Tangerine Margarita,,"Rub rim of a margarita glass with a tangerine slice and dip it into kosher salt. Pour tequila, tangerine schnapps and tangerine juice into the glass with ice. Fill it with sweet and sour mix or margarita mix.","[(u'1 1/2', u'Tequila', 'oz.'), (u'1', u'Tangerine Schnapps', 'oz.'), (u'2', u'Tangerine Juice', 'oz.'), (None, u'  Sweet & Sour Mix', None)]"
,,Tango Cocktail,,Pour all ingredients into a shaker with ice. Shake and strain into a chilled martini glass.,"[(u'1', u'Gin', 'oz.'), (u'1/2', u'Vermouth (Dry)', 'oz.'), (u'1/2', u'Vermouth (Sweet)', 'oz.'), (None, u'Splash of  Triple Sec', None), (None, u'Splash of  Orange Juice', None)]"
,,Tailspin Cocktail,,Pour all ingredients into a shaker with ice. Shake and strain into a chilled martini glass.,"[(u'1', u'Gin', 'oz.'), (u'1', u'Vermouth (Sweet)', 'oz.'), (u'1', u'Chartreuse\xae (Green)', 'oz.'), (None, u'Dash of  Orange Bitters', None)]"
,,Tahiti Club,,Pour all ingredients into a shaker with ice. Shake and strain into an old-fashioned glass with ice.,"[(u'2', u'Rum (Light)', 'oz.'), (None, u'Splash of  Maraschino Liqueur', None), (None, u'Splash of  Lemon Juice', None), (None, u'Splash of  Lime Juice', None), (None, u'Splash of  Pineapple Juice', None)]"
,,T.N.T. #2,,Pour tequila into a glass with ice. Fill it with tonic.,"[(u'2', u'Tequila', 'oz.'), (None, u'  Tonic Water', None)]"
,,T.K.O.,,Pour all ingredients into a shaker with ice. Shake and strain into a shot glass.,"[(u'1', u'Tequila', 'oz.'), (u'1', u'Coffee Liqueur', 'oz.'), (u'1', u'Ouzo', 'oz.')]"
,,T.N.T.,,Pour all ingredients into a shaker with ice. Shake and strain into a chilled martini glass.,"[(u'1 1/2', u'Whiskey', 'oz.'), (u'1 1/2', u'Anisette', 'oz.')]"
,,T-Bird,,Pour whiskey and amaretto into a glass with ice. Fill it with equal parts of orange juice and pineapple juice. Add splash of grenadine.,"[(u'1 1/2', u'Canadian Whisky', 'oz.'), (u'3/4', u'Amaretto', 'oz.'), (None, u'  Orange Juice', None), (None, u'  Pineapple Juice', None), (None, u'Splash of  Grenadine', None)]"
,,Swiss Family Cocktail,,Pour all ingredients into a shaker with ice. Shake and strain into a chilled martini glass.,"[(u'1 1/2', u'Whiskey', 'oz.'), (u'3/4', u'Vermouth (Dry)', 'oz.'), (None, u'Splash of  Anisette', None), (None, u'2 Dashes of  Bitters', None)]"
,,Sweet Tart,,Pour all ingredients into a shaker with ice. Shake and strain into a shot glass.,"[(u'1/2', u'Amaretto', 'oz.'), (u'1/2', u'Raspberry Liqueur', 'oz.'), (u'1/2', u'Citrus Rum', 'oz.'), (u'1/2', u'Sweet & Sour Mix', 'oz.'), (None, u'Splash of  Lemon-Lime Soda', None)]"
,,Swirling To The Beat Of The Haggis Wings,,"Pour Scotch, triple sec, lemon juice, grenadine and an egg white into a shaker with ice. Shake and strain into a chilled martini glass.","[(u'1 1/2', u'Scotch Whisky', 'oz.'), (u'1/2', u'Triple Sec', 'oz.'), (u'1', u'Lemon Juice', 'oz.'), (None, u'Splash of  Grenadine', None), (None, u'1  Egg', None)]"
,,Sweet Surrender,,Rub the rim of a champagne flute with an orange slice and dip it into sugar. Pour peach brandy and orange juice. Fill it with champagne.,"[(u'1/2', u'Peach Brandy', 'oz.'), (u'1', u'Orange Juice', 'oz.'), (None, u'  Champagne', None)]"
,,Sweet Patootie Cocktail,,Pour all ingredients into a shaker with ice. Shake and strain into a chilled martini glass.,"[(u'1', u'Gin', 'oz.'), (u'1/2', u'Triple Sec', 'oz.'), (None, u'Splash of  Orange Juice', None)]"
,,Sweet Nan,,Pour all ingredients into an old-fashioned glass with ice.,"[(u'1', u'Brandy', 'oz.'), (u'1', u'Vermouth (Sweet)', 'oz.'), (u'1/2', u'B\xe9n\xe9dictine\xae', 'oz.')]"
,,Sweet Maria,,Pour all ingredients into a shaker with ice. Shake and strain into a chilled martini glass.,"[(u'2', u'Vodka', 'oz.'), (u'1', u'Amaretto', 'oz.'), (None, u'Splash of  Cream / Half & Half', None)]"
,,Swamp Water,,Pour all ingredients into a shaker with ice. Shake and strain into a chilled martini glass.,"[(u'1', u'Vodka', 'oz.'), (u'1', u'Galliano\xae Liqueur', 'oz.'), (u'1', u'Blue Curacao', 'oz.')]"
,,Surfer On Acid,,Pour all ingredients into a shaker with ice. Shake and strain into a shot glass,"[(u'1', u'J\xe4germeister\xae', 'oz.'), (u'1', u'Coconut Rum', 'oz.'), (u'1/2', u'Pineapple Juice', 'oz.')]"
,,Sweaty Mexican,,Pour the tequila into a shot glass and top with three drops of Tabasco sauce.,"[(u'1', u'Tequila', 'oz.'), (None, u'3 Drops of  Tabasco\xae Sauce', None)]"
,,Susie Taylor,,Pour rum and lime juice into a glass with ice. Fill it with ginger ale.,"[(u'2', u'Rum (Light)', 'oz.'), (u'1/2', u'Lime Juice', 'oz.'), (None, u'  Ginger Ale', None)]"
,,Surf's Up,,Blend all ingredients with ice. Pour into a highball glass.,"[(u'1/2', u'Banana Liqueur', 'oz.'), (u'1/2', u'Cr\xe8me de Cacao (White)', 'oz.'), (u'5', u'Pineapple Juice', 'oz.'), (u'1', u'Cream / Half & Half', 'oz.')]"
,,Susan Littler,,"Pour dark rum, bourbon and Galliano into a glass with ice. Fill it with orange juice.","[(u'1 1/2', u'Rum (Dark)', 'oz.'), (u'1/2', u'Bourbon', 'oz.'), (u'1/4', u'Galliano\xae Liqueur', 'oz.'), (None, u'  Orange Juice', None)]"
,,Surrey Slider,,Pour rum and peach schnapps into a glass with ice. Fill it with orange juice.,"[(u'1 1/2', u'Rum (A\xf1ejo)', 'oz.'), (u'1/2', u'Peach Schnapps', 'oz.'), (None, u'  Orange Juice', None)]"
,,Surf Rider,,Pour all ingredients into a shaker with ice. Shake and strain into a chilled martini glass.,"[(u'2', u'Vodka', 'oz.'), (u'1/2', u'Sweet & Sour Mix', 'oz.'), (u'1', u'Orange Juice', 'oz.'), (None, u'Splash of  Lemon Juice', None), (None, u'Splash of  Grenadine', None)]"
,,Superman,,Pour cognac and Hpnotiq into a glass with ice. Almost fill it with Red Bull. Add the splash of grenadine.,"[(u'1', u'Cognac', 'oz.'), (u'1', u'Hpnotiq\xae Original', 'oz.'), (None, u'  Red Bull\xae Energy Drink', None), (None, u'Splash of  Grenadine', None)]"
,,Sunshine Splash,,"Pour pineapple juice, orange juice and sweet and sour mix into a glass with ice. Fill it with lemon-lime soda. Add the splash of grenadine.","[(u'3', u'Pineapple Juice', 'oz.'), (u'3', u'Orange Juice', 'oz.'), (u'1', u'Sweet & Sour Mix', 'oz.'), (None, u'  Lemon-Lime Soda', None), (None, u'Splash of  Grenadine', None)]"
,,Suntory Cocktail,,Pour all ingredients into a shaker with ice. Shake and strain into a chilled martini glass.,"[(u'1 1/2', u'Citrus Vodka', 'oz.'), (u'1', u'Midori\xae Melon Liqueur', 'oz.'), (u'1', u'Grapefruit Juice', 'oz.')]"
,,Sugar Daddy,,Pour all ingredients into a shaker with ice. Shake and strain into a chilled martini glass.,"[(u'2', u'Gin', 'oz.'), (u'1/4', u'Maraschino Liqueur', 'oz.'), (u'1', u'Pineapple Juice', 'oz.'), (None, u'Dash of  Bitters', None)]"
,,Sunflower Highball,,Pour vodka and Licor 43 into a glass with ice. Fill it with orange juice.,"[(u'1', u'Vodka', 'oz.'), (u'1', u'Licor 43\xae', 'oz.'), (None, u'  Orange Juice', None)]"
,,Suffragette City,,Pour all ingredients into a shaker with ice. Shake and strain into a chilled martini glass.,"[(u'1 1/2', u'Rum (Light)', 'oz.'), (u'1/2', u'Grand Marnier\xae Orange Liqueur', 'oz.'), (u'1/2', u'Lime Juice', 'oz.'), (None, u'Splash of  Grenadine', None)]"
,,Sun Kiss,,Pour amaretto into a glass with ice. Fill it with orange juice.,"[(u'2', u'Amaretto', 'oz.'), (None, u'  Orange Juice', None)]"
,,Sunshine Cocktail,,Pour all ingredients into a shaker with ice. Shake and strain into a chilled martini glass.,"[(u'2', u'Gin', 'oz.'), (u'1', u'Vermouth (Sweet)', 'oz.'), (None, u'Dash of  Bitters', None)]"
,,Suffering Bastard,,Pour all ingredients into a glass with ice.,"[(u'1 1/2', u'Rum (Dark)', 'oz.'), (u'1', u'Rum (151-Proof)', 'oz.'), (u'3/4', u'Orange Curacao', 'oz.'), (u'1/2', u'Orgeat Syrup', 'oz.'), (u'1', u'Lime Juice', 'oz.'), (u'2', u'Orange Juice', 'oz.')]"
,,Sue Riding High,,"Pour dark rum, dark crème de cacao and hot chocolate into a shaker with ice. Shake and strain into a chilled martini glass. Add heavy cream into the center of the drink.","[(u'1 1/2', u'Rum (Dark)', 'oz.'), (u'1/2', u'Cr\xe8me de Cacao (Dark)', 'oz.'), (u'2', u'Hot Chocolate', 'oz.'), (None, u'Splash of  Cream / Half & Half', None)]"
,,Stupid Cupid,,Pour all ingredients into a shaker with ice. Shake and strain into a chilled martini glass.,"[(u'2', u'Citrus Vodka', 'oz.'), (u'1/2', u'Sloe Gin', 'oz.'), (None, u'Splash of  Sweet & Sour Mix', None)]"
,,Strong Arm,,Pour all ingredients into a shaker with ice. Shake and strain into a chilled martini glass.,"[(u'2', u'Whiskey', 'oz.'), (u'1/2', u'Cointreau\xae Orange Liqueur', 'oz.'), (u'1/2', u'Lemon Juice', 'oz.')]"
,,Strawberry Margarita,,Rub rim of a margarita glass with a lime and dip it into sugar. Blend all ingredients with ice. Pour into the margarita glass.,"[(u'1 1/2', u'Tequila', 'oz.'), (u'1/2', u'Triple Sec', 'oz.'), (u'3', u'Strawberry Puree', 'oz.'), (None, u'  Sweet & Sour Mix', None)]"
,,Strawberry Shortcake,,Blend all ingredients. Pour into a wine glass.,"[(u'1', u'Amaretto', 'oz.'), (u'3/4', u'Cr\xe8me de Cacao (White)', 'oz.'), (u'3', u'Strawberry Puree', 'oz.'), (None, u'1 Scoop of  Vanilla Ice Cream', None)]"
,,Strawberry Sunrise,,Pour strawberry schnapps into a glass with ice. Fill it with orange juice. Float grenadine on top.,"[(u'2', u'Strawberry Liqueur', 'oz.'), (None, u'  Orange Juice', None), (None, u'Float of  Grenadine', None)]"
,,Stuffy In A Suit,,"Pour vodka, Lillet, triple sec, orange bitters and an egg white into a shaker with ice. Shake and pour into an old-fashioned glass.","[(u'1', u'Vodka', 'oz.'), (u'1/2', u'Lillet\xae Blanc', 'oz.'), (u'1/2', u'Triple Sec', 'oz.'), (None, u'Dash of  Orange Bitters', None), (None, u'1  Egg', None)]"
,,Strawberry Lemon Drop,,Rub the rim of a chilled martini glass with a lemon wedge and dip it into sugar. Pour all ingredients into a shaker with ice. Shake and strain into a chilled martini glass.,"[(u'3', u'Citrus Vodka', 'oz.'), (u'1', u'Strawberry Liqueur', 'oz.'), (u'1/2', u'Lemon Juice', 'oz.'), (u'1', u'Sugar', 'tsp.')]"
,,Strawberry Lemon Drop #2,,Rub the rim of a chilled martini glass with a lemon wedge and dip it into sugar. Pour all ingredients into a shaker with ice. Shake and strain into a chilled martini glass.,"[(u'3', u'Limoncello Lemon Liqueur', 'oz.'), (u'1', u'Strawberry Liqueur', 'oz.'), (u'1/2', u'Lemon Juice', 'oz.'), (u'1', u'Sugar', 'tsp.')]"
,,Strawberry Fields Forever,,Pour strawberry schnapps and brandy into a glass with ice. Fill it with club soda.,"[(u'2', u'Strawberry Liqueur', 'oz.'), (u'1/2', u'Brandy', 'oz.'), (None, u'  Club Soda / Carbonated Water', None)]"
,,Strawberry Daiquiri,,Put all ingredients into a blender with ice. Blend until smooth and pour into a glass. If it is too thick add more sweet and sour.,"[(u'2', u'Rum (Light)', 'oz.'), (u'1/2', u'Strawberry Liqueur', 'oz.'), (u'1', u'Sweet & Sour Mix', 'oz.'), (None, u'3  Strawberries', None)]"
,,Strawberry Dawn,,Blend all ingredients with ice. Pour into a martini glass.,"[(u'1', u'Gin', 'oz.'), (u'1', u'Cream of Coconut', 'oz.'), (u'2', u'Strawberry Puree', 'oz.')]"
,,Strain The Rein,,Rub the rim of a chilled martini glass with a lemon wedge and dip it into sugar. Pour all ingredients into a shaker with ice. Shake and strain into the martini glass.,"[(u'1 1/2', u'Rum (Light)', 'oz.'), (u'1/2', u'Raspberry Liqueur', 'oz.'), (u'1/4', u'Triple Sec', 'oz.'), (u'1', u'Lemon Juice', 'oz.'), (u'1', u'Sugar', 'tsp.')]"
,,Strawberry Banana Margarita,,Rub rim of a margarita glass with a lime and dip it into sugar. Blend all ingredients with ice. Pour into the margarita glass.,"[(u'1 1/2', u'Tequila', 'oz.'), (u'1/2', u'Triple Sec', 'oz.'), (u'1/2', u'Strawberry Liqueur', 'oz.'), (u'1/2', u'Banana Liqueur', 'oz.'), (u'2', u'Strawberry Puree', 'oz.'), (u'2', u'Banana Puree', 'oz.'), (None, u'  Sweet & Sour Mix', None)]"
,,Stranger In Town,,Pour all ingredients into a shaker with ice. Shake and strain into a chilled martini glass.,"[(u'1 1/2', u'Rum (Light)', 'oz.'), (u'1/2', u'Vermouth (Sweet)', 'oz.'), (u'1/2', u'Apple Brandy', 'oz.'), (u'1/2', u'Cherry Brandy', 'oz.')]"
,,Strawberries And Cream,,Blend all ingredients with ice. Pour into a highball glass.,"[(u'1', u'Strawberry Liqueur', 'oz.'), (u'2', u'Strawberry Puree', 'oz.'), (u'2', u'Cream / Half & Half', 'oz.'), (u'1', u'Sugar', 'tsp.'), (u'1', u'Vodka', 'oz.')]"
,,Straight Law Cocktail,,Pour all ingredients into a shaker with ice. Shake and strain into a chilled martini glass.,"[(u'2', u'Sherry (Dry)', 'oz.'), (u'1', u'Gin', 'oz.')]"
,,Strawberry Alexander,,Blend all ingredients. Pour into a highball glass.,"[(u'1', u'Brandy', 'oz.'), (u'1', u'Cr\xe8me de Cacao (White)', 'oz.'), (None, u'1 Scoop of  Vanilla Ice Cream', None), (u'5', u'Strawberry Puree', 'oz.')]"
,,Stone Sour,,Pour all ingredients into a shaker with ice. Shake and strain into an old fashioned glass with ice.,"[(u'1 1/2', u'Apricot Brandy', 'oz.'), (u'1', u'Orange Juice', 'oz.'), (u'1', u'Sweet & Sour Mix', 'oz.')]"
,,Stork Club Cocktail,,Pour all ingredients into a shaker with ice. Shake and strain into a chilled martini glass.,"[(u'1 1/2', u'Gin', 'oz.'), (u'1/2', u'Triple Sec', 'oz.'), (u'1', u'Orange Juice', 'oz.'), (None, u'Splash of  Lime Juice', None), (None, u'Dash of  Bitters', None)]"
,,Stone Fence,,Pour scotch and bitters into a glass with ice. Fill it with club soda.,"[(u'2', u'Scotch Whisky', 'oz.'), (None, u'2 Dashes of  Bitters', None), (None, u'  Club Soda / Carbonated Water', None)]"
,,Stirrup Cup,,Pour all ingredients into a shaker with ice. Shake and strain into an old-fashioned glass with ice.,"[(u'1', u'Cherry Brandy', 'oz.'), (u'1', u'Brandy', 'oz.'), (u'1', u'Lemon Juice', 'oz.'), (u'1', u'Sugar', 'tsp.')]"
,,Stella's Stinger,,Pour all ingredients into a shaker with ice. Shake and strain into a chilled martini glass.,"[(u'2', u'Tequila', 'oz.'), (u'1/2', u'Pernod\xae', 'oz.'), (u'1/2', u'Cr\xe8me de Menthe (White)', 'oz.')]"
,,Stiletto,,Pour ingredients into an old-fashioned glass with ice.,"[(u'1 1/2', u'Bourbon', 'oz.'), (u'1/2', u'Amaretto', 'oz.'), (u'1/2', u'Lemon Juice', 'oz.')]"
,,Stone Cocktail,,Pour all ingredients into a shaker with ice. Shake and strain into a chilled martini glass.,"[(u'1/2', u'Rum (Light)', 'oz.'), (u'1/2', u'Vermouth (Sweet)', 'oz.'), (u'1', u'Sherry (Dry)', 'oz.')]"
,,Stockholm 75,,"Pour vodka, lemon juice and syrup into a shaker with ice. Shake and strain into a chilled martini glass with the rim coated with sugar. Fill it with champagne.","[(u'1', u'Citrus Vodka', 'oz.'), (u'1', u'Lemon Juice', 'oz.'), (u'3/4', u'Simple Syrup', 'oz.'), (None, u'  Champagne', None)]"
,,Stiletto #2,,Pour all ingredients into an old-fashioned glass with ice.,"[(u'2', u'Whiskey', 'oz.'), (u'1/2', u'Amaretto', 'oz.'), (u'1/2', u'Lemon Juice', 'oz.'), (None, u'Splash of  Lime Juice', None)]"
,,Steaming Peach,,Pour peach schnapps and hot water into a snifter glass. Add an orange slice.,"[(u'2', u'Peach Schnapps', 'oz.'), (u'4', u'Water', 'oz.')]"
,,Starseeker,,"Pour light rum, orange juice and grenadine into a glass with ice. Fill it with tonic water.","[(u'2', u'Rum (Light)', 'oz.'), (u'1', u'Orange Juice', 'oz.'), (None, u'Splash of  Grenadine', None), (None, u'  Tonic Water', None)]"
,,Stanley Senior,,Pour all ingredients into a shaker with ice. Shake and strain into a chilled martini glass.,"[(u'2', u'Rum (Light)', 'oz.'), (u'1/2', u'Cranberry Liqueur', 'oz.'), (u'1', u'Grapefruit Juice', 'oz.')]"
,,Star Fucker,,Pour the Crown Royal and watermelon pucker in a shot glass. Fill a glass half way with Red Bull (no ice). Drop the shot into the glass with Red Bull and drink it.,"[(u'3/4', u'Crown Royal\xae Canadian Whisky', 'oz.'), (u'3/4', u'Watermelon Pucker\xae', 'oz.'), (None, u'  Red Bull\xae Energy Drink', None)]"
,,Stars And Stripes,,"In layers, pour the grenadine then the cream and finally the blue curacao into a cordial glass.","[(u'1/2', u'Grenadine', 'oz.'), (u'1/2', u'Cream / Half & Half', 'oz.'), (u'1/2', u'Blue Curacao', 'oz.')]"
,,Star Daisy,,Pour all ingredients into a shaker with ice. Shake and strain into a chilled martini glass.,"[(u'1', u'Gin', 'oz.'), (u'1', u'Apple Brandy', 'oz.'), (u'1/2', u'Lemon Juice', 'oz.'), (None, u'Splash of  Grenadine', None), (u'1/2', u'Sugar', 'tsp.')]"
,,Stinger,,Pour ingredients into a shaker with ice. Shake and strain into a chilled martini glass.,"[(u'1 1/2', u'Brandy', 'oz.'), (u'1/2', u'Cr\xe8me de Menthe (White)', 'oz.')]"
,,Star Cocktail,,Pour all ingredients into a shaker with ice. Shake and strain into a chilled martini glass.,"[(u'1', u'Apple Brandy', 'oz.'), (u'1', u'Vermouth (Sweet)', 'oz.'), (None, u'Dash of  Bitters', None)]"
,,Stanley Cocktail,,Pour all ingredients into a shaker with ice. Shake and strain into a chilled martini glass.,"[(u'1', u'Gin', 'oz.'), (u'1/2', u'Rum (Light)', 'oz.'), (u'1/2', u'Lemon Juice', 'oz.'), (None, u'Splash of  Grenadine', None)]"
,,Stalactite,,Pour sambuca into a cordial glass. Float the Irish cream on top. Pour a few drops of black raspberry liqueur on top of the Irish Cream.,"[(u'1', u'Sambuca', 'oz.'), (None, u'Float of  Irish Cream', None), (None, u'3 Drops of  Raspberry Liqueur', None)]"
,,St. Charles Punch,,Pour all ingredients except the port into a shaker with ice. Shake and strain into a collins glass with ice. Add port on top.,"[(u'1', u'Brandy', 'oz.'), (u'1/2', u'Triple Sec', 'oz.'), (u'1', u'Lemon Juice', 'oz.'), (u'1', u'Sugar', 'tsp.'), (u'3', u'Port', 'oz.')]"
,,St. Patrick's Day,,Pour all ingredients into a shaker with ice. Shake and strain into a chilled martini glass.,"[(u'1', u'Cr\xe8me de Menthe (Green)', 'oz.'), (u'1', u'Chartreuse\xae (Green)', 'oz.'), (u'1', u'Irish Whiskey', 'oz.'), (None, u'Dash of  Bitters', None)]"
,,Spy Catcher,,Pour all ingredients into a shaker with ice. Shake and strain into a shot glass.,"[(u'1', u'Canadian Whisky', 'oz.'), (u'1/2', u'Sambuca', 'oz.')]"
,,Spymaster,,"Pour vodka, banana liqueur, lemon juice and an egg white into a shaker with ice. Shake and pout into an old-fashioned glass.","[(u'1 1/2', u'Vodka', 'oz.'), (u'1/2', u'Banana Liqueur', 'oz.'), (u'1/2', u'Lemon Juice', 'oz.'), (None, u'1  Egg', None)]"
,,Sputnik,,Pour all ingredients into a shaker with ice. Shake and strain into an old-fashioned glass with ice.,"[(u'1', u'Vodka', 'oz.'), (u'1', u'Peach Schnapps', 'oz.'), (u'2', u'Orange Juice', 'oz.'), (u'2', u'Cream / Half & Half', 'oz.')]"
,,Squire Racine,,Pour dark rum and Southern Comfort into an Irish coffee mug. Fill it with hot milk.,"[(u'1 1/2', u'Rum (Dark)', 'oz.'), (u'1/2', u'Southern Comfort\xae', 'oz.'), (None, u'  Milk', None)]"
,,Spritzer,,Pour white wine or red wine into a glass with ice. Fill it with club soda.,"[(u'5', u'White Wine', 'oz.'), (None, u'  Club Soda / Carbonated Water', None)]"
,,Spring Feeling Cocktail,,Pour all ingredients into a shaker with ice. Shake and strain into a chilled martini glass.,"[(u'1', u'Gin', 'oz.'), (u'1/2', u'Chartreuse\xae (Green)', 'oz.'), (None, u'Splash of  Lemon Juice', None)]"
,,Spencer Cocktail,,Pour all ingredients into a shaker with ice. Shake and strain into a chilled martini glass.,"[(u'2', u'Gin', 'oz.'), (u'1', u'Apricot Brandy', 'oz.'), (None, u'Splash of  Orange Juice', None), (None, u'Dash of  Bitters', None)]"
,,Spark In The Night,,Pour all ingredients into a shaker with ice. Shake and strain into a chilled martini glass.,"[(u'1 1/2', u'Rum (Dark)', 'oz.'), (u'1/2', u'Coffee Liqueur', 'oz.'), (u'1/4', u'Lime Juice', 'oz.')]"
,,Sphinx Cocktail,,Pour all ingredients into a shaker with ice. Shake and strain into a chilled martini glass.,"[(u'2', u'Gin', 'oz.'), (u'1/2', u'Vermouth (Dry)', 'oz.'), (u'1/2', u'Vermouth (Sweet)', 'oz.')]"
,,Spanish Coffee #2,,Pour Cognac or brandy and coffee liqueur into an Irish coffee mug. Fill it with hot coffee.,"[(u'1', u'Cognac', 'oz.'), (u'1', u'Coffee Liqueur', 'oz.'), (None, u'  Hot Coffee', None)]"
,,Speaker Of The House,,Pour all ingredients into a shaker with ice. Shake and strain into a chilled martini glass.,"[(u'2', u'Canadian Whisky', 'oz.'), (u'1/2', u'Green Ginger Wine', 'oz.'), (None, u'Splash of  Cherry Brandy', None), (u'1/2', u'Lemon Juice', 'oz.')]"
,,Spanish Town Cocktail,,Pour all ingredients into a shaker with ice. Shake and strain into a chilled martini glass.,"[(u'2', u'Rum (Light)', 'oz.'), (None, u'Splash of  Triple Sec', None)]"
,,Splash And Crash,,"Pour amaretto, cranberry juice and orange juice into a glass with ice. Add 151-proof rum on top.","[(u'2', u'Amaretto', 'oz.'), (u'6', u'Cranberry Juice', 'oz.'), (u'2', u'Orange Juice', 'oz.'), (u'1/2', u'Rum (151-Proof)', 'oz.')]"
,,Special Rough Cocktail,,Pour all ingredients into a shaker with ice. Shake and strain into a chilled martini glass.,"[(u'1 1/2', u'Brandy', 'oz.'), (u'1 1/2', u'Apple Brandy', 'oz.'), (None, u'Splash of  Anisette', None)]"
,,Spanish Coffee,,Pour coffee brandy and triple sec into an Irish coffee mug. Fill it with hot coffee.,"[(u'1', u'Coffee Brandy', 'oz.'), (u'1', u'Triple Sec', 'oz.'), (None, u'  Hot Coffee', None)]"
