rating,num_reviews,name,tags,directions,ingredients
,,Yellow Jacket,,Pour all ingredients into a shaker with ice. Shake and strain into an old fashioned glass with ice.,"[(u'2', u'Pineapple Juice', 'oz.'), (u'2', u'Orange Juice', 'oz.'), (u'1/2', u'Lemon Juice', 'oz.')]"
,,Yellow Canary,,Pour all ingredients into a shaker with ice. Shake and strain into a chilled martini glass.,"[(u'1 1/2', u'Rum (Light)', 'oz.'), (u'1/2', u'Cointreau\xae Orange Liqueur', 'oz.'), (u'1/2', u'Galliano\xae Liqueur', 'oz.'), (u'1/2', u'Lime Juice', 'oz.')]"
,,Yellow Parrot,,Pour all ingredients into a shaker with ice. Shake and strain into a chilled martini glass.,"[(u'1', u'Apricot Brandy', 'oz.'), (u'1', u'Chartreuse\xae (Yellow)', 'oz.'), (u'1', u'Anisette', 'oz.')]"
,,Yellow Rattler,,Pour all ingredients into a shaker with ice. Shake and strain into a chilled martini glass.,"[(u'1 1/2', u'Gin', 'oz.'), (u'1/4', u'Orange Juice', 'oz.'), (u'1/2', u'Vermouth (Dry)', 'oz.'), (u'1/2', u'Vermouth (Sweet)', 'oz.')]"
,,Yellow Birdie,,Pour vodka and banana liqueur into a glass with ice. Fill it lemon-lime soda.,"[(u'1', u'Vodka', 'oz.'), (u'1', u'Banana Liqueur', 'oz.'), (None, u'  Lemon-Lime Soda', None)]"
,,Yellow Cake,,Pour ingredients into a shaker with ice. Shake and strain into a shot glass.,"[(u'1', u'Vanilla Vodka', 'oz.'), (u'1', u'Triple Sec', 'oz.'), (u'1', u'Pineapple Juice', 'oz.')]"
,,Yellow Bird #2,,Pour all liquors into a glass with ice. Fill it with orange juice.,"[(u'3/4', u'Apricot Brandy', 'oz.'), (u'3/4', u'Coconut Rum', 'oz.'), (u'3/4', u'Banana Liqueur', 'oz.'), (None, u'  Orange Juice', None)]"
,,Xeres Cocktail,,Pour all ingredients into a shaker with ice. Shake and strain into a chilled martini glass.,"[(u'2', u'Sherry (Dry)', 'oz.'), (None, u'Dash of  Orange Bitters', None)]"
,,Xanthia,,Pour all ingredients into a shaker with ice. Shake and strain into a chilled martini glass.,"[(u'3/4', u'Gin', 'oz.'), (u'3/4', u'Cherry Brandy', 'oz.'), (u'3/4', u'Chartreuse\xae (Yellow)', 'oz.')]"
,,X,,Pour all ingredients into a shaker with ice. Shake and strain into a shot glass.,"[(u'3/4', u'Amaretto', 'oz.'), (u'3/4', u'Wildberry Schnapps', 'oz.'), (None, u'Splash of  Cola', None), (None, u'Splash of  Sweet & Sour Mix', None)]"
,,Y 2 K,,Pour all ingredients into a shaker with ice. Shake and strain into a shot glass.,"[(u'2', u'Yukon Jack\xae Whiskey', 'oz.'), (u'1', u'Coffee Liqueur', 'oz.')]"
,,Yale Cocktail,,Pour all ingredients into a shaker with ice. Stir and strain into a chilled martini glass.,"[(u'1 1/2', u'Gin', 'oz.'), (u'1/2', u'Vermouth (Dry)', 'oz.'), (None, u'Splash of  Blue Curacao', None), (None, u'Dash of  Bitters', None)]"
,,Yellow Bird,,Pour all ingredients into a shaker with ice. Shake and strain into a chilled martini glass.,"[(u'3/4', u'Vodka', 'oz.'), (u'3/4', u'Cr\xe8me de Cacao (White)', 'oz.'), (u'3/4', u'Orange Juice', 'oz.'), (u'3/4', u'Cream / Half & Half', 'oz.'), (u'1/2', u'Galliano\xae Liqueur', 'oz.')]"
,,XYZ Cocktail,,Pour all ingredients into a shaker with ice. Shake and strain into a chilled martini glass.,"[(u'1 1/2', u'Rum (Light)', 'oz.'), (u'1/2', u'Triple Sec', 'oz.'), (u'1/2', u'Lemon Juice', 'oz.')]"
,,Wysooler,,Pour all ingredients into a shaker with ice. Shake and strain into a chilled martini glass.,"[(u'1', u'Vermouth (Sweet)', 'oz.'), (u'3/4', u'Gin', 'oz.'), (u'3/4', u'Chartreuse\xae (Green)', 'oz.'), (None, u'2 Dashes of  Orange Bitters', None)]"
,,Wooter Hooter,,Pour the Jack Daniel's into a glass with ice. Fill it with lemon-lime soda. Add the splash of grenadine.,"[(u'2', u""Jack Daniel's\xae Tennessee Whiskey"", 'oz.'), (None, u'  Lemon-Lime Soda', None), (None, u'Splash of  Grenadine', None)]"
,,Woodward Cocktail,,Pour all ingredients into a shaker with ice. Shake and strain into a chilled martini glass.,"[(u'2', u'Scotch Whisky', 'oz.'), (u'1/2', u'Vermouth (Dry)', 'oz.'), (None, u'Splash of  Grapefruit Juice', None)]"
,,Woo Woo,,Pour all ingredients into a shaker with ice. Shake and strain into a shot glass.,"[(u'1', u'Vodka', 'oz.'), (u'1', u'Peach Schnapps', 'oz.'), (u'1', u'Cranberry Juice', 'oz.')]"
,,Witch's Tit,,Pour coffee liqueur into a cordial glass. Add the float of light cream or milk.,"[(u'1 1/2', u'Coffee Liqueur', 'oz.'), (None, u'Float of  Cream / Half & Half', None)]"
,,Witch Of Venice,,Pour all ingredients into a shaker with ice. Shake and strain into a chilled martini glass.,"[(u'1 1/2', u'Vodka', 'oz.'), (u'1/2', u'Strega\xae Herbal Liqueur', 'oz.'), (u'1/4', u'Banana Liqueur', 'oz.'), (u'1', u'Orange Juice', 'oz.')]"
,,Woodstock,,Pour all ingredients into a shaker with ice. Shake and strain into a chilled martini glass.,"[(u'1 1/2', u'Gin', 'oz.'), (u'1', u'Lemon Juice', 'oz.'), (u'1 1/2', u'Maple Syrup', 'tsp.'), (None, u'Dash of  Orange Bitters', None)]"
,,Wine Nut,,Pour amaretto and pineapple juice into a glass with ice. Fill it with white zinfandel.,"[(u'1', u'Amaretto', 'oz.'), (u'1', u'Pineapple Juice', 'oz.'), (None, u'  White Zinfandel', None)]"
,,Wine Cooler,,Pour red wine or white wine into a wine glass with ice. Fill it with lemon-lime soda or ginger ale.,"[(u'4', u'Red Wine', 'oz.'), (None, u'  Lemon-Lime Soda', None)]"
,,Windex #2,,"Pour vodka, rum, blue curacao and lime juice into a glass with ice. Fill it with lemon-lime soda.","[(u'1', u'Vodka', 'oz.'), (u'1', u'Rum (Light)', 'oz.'), (u'1/2', u'Blue Curacao', 'oz.'), (None, u""Splash of  Lime Juice (Rose's\xae)"", None), (None, u'  Lemon-Lime Soda', None)]"
,,Windex,,Pour all ingredients into a shaker with ice. Shake and strain into a shot glass.,"[(u'1', u'Vodka', 'oz.'), (u'1', u'Blue Curacao', 'oz.')]"
,,Wildberry Margarita,,Pour tequila and wildberry schnapps into a glass with ice. Fill it with sweet and sour mix or margarita mix.,"[(u'1 1/2', u'Tequila', 'oz.'), (u'1', u'Wildberry Schnapps', 'oz.'), (None, u'  Sweet & Sour Mix', None)]"
