rating,num_reviews,name,tags,url,ingredients,directions
7.0,3,Queen Of Scots recipe,,http://www.drinksmixer.com/drinkk1l2403.html,"[(u'1', u'sugar', 'tsp'), (u'2', u'water', 'tsp'), (u'1', u'lemon juice', 'tsp'), (u'2', u'Scotch whisky', 'oz'), (u'1/2', u'Green Chartreuse\xae', 'tsp'), (u'1/2', u'Blue Curacao liqueur', 'tsp')]",Shake with ice and strain into a cocktail glass.
6.0,4,Quick's Killaritas recipe,,http://www.drinksmixer.com/drink443.html,"[(u'1/2', u""Rose's\xae lime juice"", 'cup'), (u'2/3', u'triple sec', 'cup'), (u'1 - 1/3', u'tequila', 'cup'), (None, u'12 ozfrozen limeade', None)]",Shake ingredients together in a pitcher. Serve on the rocks in a margarita glass.
6.0,2,Quick Thrill recipe,,http://www.drinksmixer.com/drink6273.html,"[(None, u'3 ozmedium red wine', None), (u'1/3', u'dark rum', 'oz'), (None, u'3 ozchilled cola', None)]",Pour into an ice-filled wine goblet.
7.0,1,Ragged Company recipe,,http://www.drinksmixer.com/drink6282.html,"[(u'2', u'bourbon whiskey', 'oz'), (u'1/2', u'sweet vermouth', 'oz'), (u'1', u'benedictine herbal liqueur', 'tsp'), (u'2', u'bitters', 'dashes'), (None, u'1 twist lemon', None)]","Combine bourbon, vermouth, benedictine, and bitters in a mixing glass half-filled with ice cubes. Stir well, and strain into a cocktail glass. Garnish with a twist of lemon, and serve."
10.0,3,Randy Andy recipe,,http://www.drinksmixer.com/drink7061.html,"[(u'1 1/2', u'white rum', 'oz'), (u'1/3', u'creme de bananes', 'oz'), (u'1', u'grapefruit juice', 'oz'), (u'1', u'guava juice', 'oz'), (u'1/3', u'lime juice', 'oz'), (u'1/3', u'passion-fruit syrup', 'oz')]","Shake and strain into a cocktail glass. Garnish with a lime wedge, and serve."
1.0,1,Rainbow Snowball recipe,,http://www.drinksmixer.com/drink1c4d886.html,"[(u'1', u'amaretto almond liqueur', 'oz'), (u'1', u'melon liqueur', 'oz'), (u'2', u'cherry juice', 'oz')]",Shake and serve with crushed ice. The blend will look like melted Rainbow Snowball and taste like it too! 
,,Rainbow Road recipe,,http://www.drinksmixer.com/drink1p24o16.html,"[(u'1/2', u'vodka', 'oz'), (u'1/2', u'lemon liqueur', 'oz'), (u'5', u'lemon-lime mix', 'oz'), (u'1', u'Blue Curacao liqueur', 'splash'), (u'1', u'melon liqueur', 'splash'), (u'1', u'grenadine syrup', 'splash')]","Shake the first three ingredients and pour into a lowball glass filled with cracked ice. On the left side add the splash of grenadine, in middle the splash of blue curacao and on the right side add the melon liqueur. Garnish with a cherry and a slice of lime."
1.7,3,Rainbow Julep recipe,,http://www.drinksmixer.com/drink7356.html,"[(None, u'2 fresh mint', None), (u'1/2', u'Marie Brizard\xae Apry apricot brandy', 'oz'), (u'2', u'bourbon whiskey', 'oz')]","Muddle one of the mint sprigs with apricot brandy in the bottom of a mixing glass. Add bourbon and strain into a highball glass filled with crushed ice. Swirl with a barspoon until the outer glass frosts. Garnish with a mint sprig, and serve."
9.1,9,Rainbow Orgy recipe,,http://www.drinksmixer.com/drink9476.html,"[(u'1/2', u'Midori\xae melon liqueur', 'oz'), (u'1/2', u'strawberry liqueur', 'oz'), (u'1/2', u'banana liqueur', 'oz'), (u'4 1/2', u'orange juice', 'oz')]","Pour the Midori melon liqueur, strawberry liqueur and banana liqueur into a cocktail shaker one-third filled with ice cubes. Shake well, and pour entire contents into a highball glass. Top with orange juice, and serve."
8.7,3,Raspberry Release recipe,,http://www.drinksmixer.com/drink6300.html,"[(u'3', u'ginger ale', 'oz'), (u'1', u'Chambord\xae raspberry liqueur', 'oz')]","Pour ingredients into a brandy snifter. Stir, and serve."
