rating,num_reviews,name,tags,url,ingredients,directions
,,Farmer's Cocktail,,http://www.goodcocktails.com/recipes/mixed_drink.php?drinkID=408,"[(u'1', u'Gin', 'oz.'), (u'1/2', u'Vermouth (Dry)', 'oz.'), (u'1/2', u'Vermouth (Sweet)', 'oz.'), (None, u'2 Dashes of  Bitters', None)]",Pour all ingredients into a shaker with ice. Shake and strain into a chilled martini glass.
,,Fastlap,,http://www.goodcocktails.com/recipes/mixed_drink.php?drinkID=2211,"[(u'2', u'Gin', 'oz.'), (u'1/2', u'Pernod\xae', 'oz.'), (u'1', u'Orange Juice', 'oz.'), (None, u'Splash of  Grenadine', None)]",Pour all ingredients into a shaker with ice. Shake and pour into an old-fashioned glass.
,,Fancy Gin,,http://www.goodcocktails.com/recipes/mixed_drink.php?drinkID=406,"[(u'2', u'Gin', 'oz.'), (None, u'Splash of  Triple Sec', None), (None, u'Dash of  Bitters', None), (u'1/4', u'Sugar', 'tsp.')]",Pour all ingredients into a shaker with ice. Shake and strain into a chilled martini glass.
,,Fancy Brandy,,http://www.goodcocktails.com/recipes/mixed_drink.php?drinkID=421,"[(u'2', u'Brandy', 'oz.'), (None, u'Splash of  Triple Sec', None), (None, u'Dash of  Bitters', None), (u'1/4', u'Sugar', 'tsp.')]",Pour all ingredients into a shaker with ice. Shake and strain into a chilled martini glass.
,,Farthingale,,http://www.goodcocktails.com/recipes/mixed_drink.php?drinkID=2566,"[(u'1', u'Vermouth (Sweet)', 'oz.'), (u'1', u'Vermouth (Dry)', 'oz.'), (u'3/4', u'Gin', 'oz.'), (None, u'Dash of  Bitters', None)]",Pour all ingredients into a shaker with ice. Shake and strain into a chilled martini glass.
,,Fancy Rum,,http://www.goodcocktails.com/recipes/mixed_drink.php?drinkID=2169,"[(u'2', u'Rum (Light)', 'oz.'), (None, u'Splash of  Triple Sec', None), (None, u'Dash of  Bitters', None), (u'1/4', u'Sugar', 'tsp.')]",Pour all ingredients into a shaker with ice. Shake and strain into a chilled martini glass.
,,Fancy Bourbon,,http://www.goodcocktails.com/recipes/mixed_drink.php?drinkID=2167,"[(u'2', u'Bourbon', 'oz.'), (None, u'Splash of  Triple Sec', None), (None, u'Dash of  Bitters', None), (u'1/4', u'Sugar', 'tsp.')]",Pour all ingredients into a shaker with ice. Shake and strain into a chilled martini glass.
,,Eyes Wide Shut,,http://www.goodcocktails.com/recipes/mixed_drink.php?drinkID=1706,"[(u'1/2', u'Crown Royal\xae Canadian Whisky', 'oz.'), (u'1/2', u'Southern Comfort\xae', 'oz.'), (u'1/2', u'Amaretto', 'oz.'), (u'1/2', u'Orange Juice', 'oz.'), (u'1/2', u'Pineapple Juice', 'oz.'), (u'1/2', u'Cranberry Juice', 'oz.'), (None, u'Splash of  Grenadine', None)]",Pour all ingredients into a shaker with ice. Shake and strain into a chilled martini glass.
,,Fallen Angel,,http://www.goodcocktails.com/recipes/mixed_drink.php?drinkID=405,"[(u'2', u'Gin', 'oz.'), (None, u'Splash of  Cr\xe8me de Menthe (White)', None), (u'1/2', u'Lemon Juice', 'oz.'), (None, u'Dash of  Bitters', None)]",Pour all ingredients into a shaker with ice. Shake and strain into a chilled martini glass.
,,Express,,http://www.goodcocktails.com/recipes/mixed_drink.php?drinkID=1126,"[(u'1 1/2', u'Grand Marnier\xae Orange Liqueur', 'oz.'), (u'1/2', u'Vodka', 'oz.')]",Pour all ingredients into a shaker with ice. Shake and strain into a chilled martini glass.
,,Fair And Warmer Cocktail,,http://www.goodcocktails.com/recipes/mixed_drink.php?drinkID=401,"[(u'1 1/2', u'Rum (Light)', 'oz.'), (u'3/4', u'Vermouth (Sweet)', 'oz.'), (None, u'Splash of  Triple Sec', None)]",Pour all ingredients into a shaker with ice. Shake and strain into a chilled martini glass.
,,Executive Sunrise,,http://www.goodcocktails.com/recipes/mixed_drink.php?drinkID=2400,"[(u'2', u'Tequila (Gold)', 'oz.'), (None, u'  Orange Juice', None), (None, u'Splash of  Cr\xe8me de Cassis', None)]",Pour tequila into a glass with ice. Almost fill it with orange juice. Add the crème de cassis into the center of the drink.
,,Face Eraser,,http://www.goodcocktails.com/recipes/mixed_drink.php?drinkID=1114,"[(u'1', u'Vodka', 'oz.'), (u'1', u'Coffee Liqueur', 'oz.'), (None, u'  Lemon-Lime Soda', None)]",Pour vodka and coffee liqueur into a glass with ice. Fill it with lemon-lime soda. Do not stir or shake.
,,Exorcist Cocktail,,http://www.goodcocktails.com/recipes/mixed_drink.php?drinkID=2089,"[(u'1 1/2', u'Tequila', 'oz.'), (u'3/4', u'Blue Curacao', 'oz.'), (u'3/4', u'Lime Juice', 'oz.')]",Pour all ingredients into a shaker with ice. Shake and strain into a chilled martini glass.
,,Eye Opener,,http://www.goodcocktails.com/recipes/mixed_drink.php?drinkID=2290,"[(u'1 1/2', u'Rum (Light)', 'oz.'), (u'1/2', u'Triple Sec', 'oz.'), (u'1/4', u'Pernod\xae', 'oz.'), (None, u'Splash of  Cr\xe8me de Cacao (White)', None), (u'1', u'Sugar', 'tsp.'), (None, u'1  Egg', None)]","Pour light rum, triple sec, Pernod, white crème de cacao, sugar and an egg yolk into a shaker with ice. Shake and strain into a chilled martini glass."
,,Evil Moa,,http://www.goodcocktails.com/recipes/mixed_drink.php?drinkID=1350,"[(u'3/4', u""Jack Daniel's\xae Tennessee Whiskey"", 'oz.'), (u'3/4', u'J\xe4germeister\xae', 'oz.'), (u'3/4', u'Southern Comfort\xae', 'oz.'), (None, u'  Pineapple Juice', None), (None, u'Splash of  Grenadine', None)]","Pour Jack Daniel's, Jägermeister and Southern Comfort into a glass with ice. Almost fill it with pineapple juice. Add the splash of grenadine."
,,Ethel Duffy Cocktail,,http://www.goodcocktails.com/recipes/mixed_drink.php?drinkID=233,"[(u'1', u'Apricot Brandy', 'oz.'), (u'1', u'Cr\xe8me de Menthe (White)', 'oz.'), (u'1', u'Triple Sec', 'oz.')]",Pour all ingredients into a shaker with ice. Shake and strain into a chilled martini glass.
,,Everybody's Irish Cocktail,,http://www.goodcocktails.com/recipes/mixed_drink.php?drinkID=234,"[(u'2', u'Irish Whiskey', 'oz.'), (u'1/2', u'Cr\xe8me de Menthe (Green)', 'oz.'), (u'1/2', u'Chartreuse\xae (Green)', 'oz.')]",Pour all ingredients into a shaker with ice. Shake and strain into a chilled martini glass.
,,European,,http://www.goodcocktails.com/recipes/mixed_drink.php?drinkID=2209,"[(u'1', u'Gin', 'oz.'), (u'1/2', u'Sherry (Cream)', 'oz.'), (u'1/2', u'Dubonnet', 'oz.'), (u'1/2', u'Vermouth (Dry)', 'oz.'), (None, u'Splash of  Grand Marnier\xae Orange Liqueur', None)]",Pour all ingredients into an old-fashioned glass with ice.
,,Eruption,,http://www.goodcocktails.com/recipes/mixed_drink.php?drinkID=2485,"[(u'2', u'Canadian Whisky', 'oz.'), (u'1/2', u'Cr\xe8me de Cassis', 'oz.')]",Pour all ingredients into a shaker with ice. Shake and strain into a chilled martini glass.
,,Entwistle's Error,,http://www.goodcocktails.com/recipes/mixed_drink.php?drinkID=2289,"[(u'2', u'Rum (Dark)', 'oz.'), (u'1/2', u'Lemon Juice', 'oz.'), (None, u'  Tonic Water', None)]",Pour dark rum and lemon juice into a glass with ice. Fill it with tonic water.
,,English Highball,,http://www.goodcocktails.com/recipes/mixed_drink.php?drinkID=231,"[(u'3/4', u'Gin', 'oz.'), (u'3/4', u'Brandy', 'oz.'), (u'3/4', u'Vermouth (Sweet)', 'oz.'), (None, u'  Ginger Ale', None)]","Pour gin, brandy and sweet vermouth into a glass with ice. Fill it with ginger ale or club soda."
,,End Of My Rope,,http://www.goodcocktails.com/recipes/mixed_drink.php?drinkID=2612,"[(u'1 1/2', u'Hazelnut Liqueur', 'oz.'), (u'1/2', u'Banana Liqueur', 'oz.'), (u'1', u'Pineapple Juice', 'oz.'), (None, u'Dash of  Bitters', None)]",Pour all ingredients into a shaker with ice. Shake and strain into a chilled martini glass.
