rating,num_reviews,name,tags,directions,ingredients
10.0,4,Queeny Tini recipe,,Shake ingredients in a cocktail shaker with ice. Strain into glass. Garnish with slice of apple. ,"[(u'1', u'Smirnoff\xae Green Apple Twist vodka', 'oz'), (u'1/2', u'DeKuyper\xae Sour Apple Pucker schnapps', 'oz'), (u'1/2', u'Midori\xae melon liqueur', 'oz'), (None, u'1 slice apple', None)]"
8.0,2,Queens recipe,,"Shake with ice, strain into a cocktail glass, and serve.","[(u'1/2', u'gin', 'oz'), (u'1/2', u'dry vermouth', 'oz'), (u'1/2', u'sweet vermouth', 'oz'), (u'1/2', u'pineapple juice', 'oz')]"
7.3,4,Queen's Park Swizzle recipe,,"Squeeze lime juice into a highball glass. Add the shell, fill with crushed ice and add the mint. Pour in the rum, angostura bitters and sugar syrup. Swizzle until glass frosts. Add the soda, garnish with a sprig of mint, and serve with a straw.","[(u'2', u'dark rum', 'oz'), (u'2', u'Angostura\xae bitters', 'dashes'), (u'1/2', u'sugar syrup', 'oz'), (None, u' juice of 1/2 limes', None), (None, u'4  mint', None), (u'2', u'soda water', 'oz')]"
8.0,4,Queen Elizabeth recipe,,"Stir all ingredients with ice, strain into a cocktail glass, and serve.","[(u'1/2', u'dry vermouth', 'oz'), (u'1 1/2', u'gin', 'oz'), (u'1 1/2', u'benedictine herbal liqueur', 'tsp')]"
7.8,4,Queen Soda recipe,,Stir and serve in a highball glass with three or four ice cubes.,"[(u'2', u'butterscotch schnapps', 'oz'), (None, u'  cream soda', None)]"
7.3,3,Queen Charlotte recipe,,"Pour red wine and grenadine into a collins glass over ice cubes. Fill with lemon-lime soda, stir, and serve.","[(u'2', u'red wine', 'oz'), (u'1', u'grenadine syrup', 'oz'), (None, u'  lemon-lime soda', None)]"
6.8,6,Queen Charlie recipe,,"Pour into an ice-filled highball glass. Garnish with fruit, and serve with a straw.","[(u'1/2', u'grenadine syrup', 'oz'), (u'3', u'soda water', 'oz'), (u'3', u'lemonade', 'oz')]"
7.0,1,Queen of Hearts recipe,,Add the melon liqueur and the amaretto to a highball glass first. Then add the blue curaco and cranberry juice. ,"[(u'2', u'amaretto almond liqueur', 'oz'), (u'2', u'Midori\xae melon liqueur', 'oz'), (u'4', u'Blue Curacao liqueur', 'oz'), (u'4', u'cranberry juice', 'oz')]"
7.8,4,Queen Bee recipe,,"Shake all ingredients with ice, strain into a cocktail glass, and serve.","[(u'1', u'coffee brandy', 'oz'), (u'1 1/2', u'lime vodka', 'oz'), (u'1/2', u'cream sherry', 'oz')]"
6.7,3,Quebecer Banana Blow Job recipe,,"Mix the cream, banana liqueur and vodka into the shot glass. It has to be drank the same way as a traditional blow job, the glass on the floor and without the hands. ","[(u'1/2', u'vodka', 'oz'), (u'1/2', u'banana liqueur', 'oz'), (u'1/2', u'cream', 'oz')]"
7.5,2,Quebec Cocktail recipe,,"Pour Canadian whisky, vermouth, Amer Picon and maraschino into a mixing glass half-filled with ice cubes. Stir well, strain into a cocktail glass, and serve.","[(u'2', u'Canadian whisky', 'oz'), (u'1/2', u'dry vermouth', 'oz'), (u'1', u'Amer Picon\xae orange bitters', 'tsp'), (u'1', u'maraschino liqueur', 'tsp')]"
9.4,5,Quaker's Cocktail recipe,,"Shake all ingredients with ice, strain into a cocktail glass, and serve.","[(u'3/4', u'light rum', 'oz'), (u'3/4', u'brandy', 'oz'), (None, u' juice of 1/4 lemons', None), (u'2', u'raspberry syrup', 'tsp')]"
,,Quarter Deck Cocktail recipe,,"Stir all ingredients with ice, strain into a cocktail glass, and serve.","[(u'1 1/2', u'light rum', 'oz'), (u'1/3', u'cream sherry', 'oz'), (None, u' juice of 1/2 limes', None)]"
6.4,5,Quagmyre recipe,,"Pour ingredients into a brandy snifter. Shake until clear, and serve.","[(u'1/2', u'Canadian Club\xae whisky', 'oz'), (u'1/2', u""Bailey's\xae Irish cream"", 'oz'), (u'2', u'chocolate milk', 'oz'), (u'1 1/2', u'Kahlua\xae coffee liqueur', 'oz'), (u'1 1/2', u'Perrier\xae soda water', 'oz')]"
6.8,5,Quantum Theory recipe,,"Pour rum, strega and grand marnier into a collins glass. Add pineapple juice, and fill with sweet and sour mix. Garnish with a lemon cherry flag.","[(u'3/4', u'rum', 'oz'), (u'1/2', u'Strega\xae herbal liqueur', 'oz'), (u'1/4', u'Grand Marnier\xae orange liqueur', 'oz'), (u'2', u'pineapple juice', 'oz'), (None, u'  sweet and sour mix', None)]"
8.0,1,Quantanamo Bomb recipe,,"Drink or poor the neck out of the Corona,, Put a shot of Grenadine and a two Shots of Tequilla in it.  Put the Lime in it, Flip it up and enjoy.","[(None, u'  Corona\xae lager', None), (None, u'  tequila', None), (None, u'  grenadine syrup', None)]"
10.0,3,Karen's Melons recipe,,Build over ice in a highball glass. Fill with 7-up or Sprite. Try to toss the lime wedge from behind your back and into the drink. ,"[(u'1 1/2', u'Midori\xae melon liqueur', 'oz'), (u'1', u'vodka', 'oz'), (u'4 - 5', u'7-Up\xae soda', 'oz'), (None, u'1  lime', None)]"
8.0,1,Quaalude recipe,,"Build in an old-fashioned glass filled with ice cubes, and serve.","[(u'1', u'vodka', 'oz'), (u'1', u'hazelnut liqueur', 'oz'), (u'1', u'coffee liqueur', 'oz'), (u'1', u'milk', 'splash')]"
5.5,2,Karen Koolatta recipe,,"Fill the glass with ice. Pour Grand Marnier over ice. Add iced tea, garnish with lemon wedge. ","[(u'2', u'Grand Marnier\xae orange liqueur', 'oz'), (u'4', u'iced tea', 'oz')]"
6.0,2,QB Sneak recipe,,"Fill glass with ice. Pour rum first, then top with gatorade. Stir and serve. ","[(u'3', u'Bacardi\xae 151 rum', 'oz'), (None, u'  Gatorade\xae strawberry energy drink', None)]"
8.0,2,Karamozov Koffee recipe,,"Pour all ingredients into a cocktail shaker half-filled with cracked ice. Strain into a chilled cocktail glass, or serve in a tall glass with iced coffee and with/without cream.","[(u'1', u'Stoli\xae Kafya vodka', 'oz'), (u'1', u'Amaretto Di Saronno\xae liqueur', 'oz'), (u'1', u'white creme de cacao', 'oz')]"
,,Kappa Colada recipe,,Shake everything with ice; strain into a collins glass with ice. ,"[(u'1', u'brandy', 'oz'), (u'1', u'cream of coconut', 'oz'), (u'2', u'pineapple juice', 'oz')]"
9.6,69,Kansas City Ice Water recipe,,"Pour gin, vodka and lime juice over ice in a highball glass. Fill with 7-up, and serve.","[(u'3/4', u'gin', 'oz'), (u'3/4', u'vodka', 'oz'), (u'1/2', u'lime juice', 'oz'), (None, u'  7-Up\xae soda', None)]"
6.3,3,Kangaroo Kicker recipe,,"Shake ingredients in a cocktail shaker half-filled with ice cubes. Strain into a cocktail glass, garnish with a lemon twist, and serve.","[(u'2', u'vodka', 'oz'), (u'3/4', u'French vermouth', 'oz')]"
8.4,5,Kangaroo recipe,,Stir with ice and strain into a chillled cocktail glass. Garnish with a lemon zest.,"[(u'1 1/2', u'vodka', 'oz'), (u'1/2', u'vermouth', 'oz')]"
,,Kanawful's Serum recipe,,"Pour 1 part Kahlua, then pour 1 part Cream de Cacao (white), then pour 1 part Bailey's Irish Cream in a shot glass. Top it off with a puff of whipped cream. ","[(u'1/2', u""Bailey's\xae Irish cream"", 'oz'), (u'1/2', u'white creme de cacao', 'oz'), (u'1/2', u'Kahlua\xae coffee liqueur', 'oz'), (u'1/2', u'whipped cream', 'oz')]"
10.0,1,Kanapeas Kick recipe,,"Pour the Jack Daniel's Tennessee Whiskey into a collins glass 3/4 filled with ice cubes. Add the orange vodka and sweet and sour mix. Splash with Coca-cola, and serve.","[(u'4', u""Jack Daniel's\xae Tennessee whiskey"", 'oz'), (u'2', u'orange vodka', 'oz'), (u'5', u'sweet and sour mix', 'oz'), (u'1', u'Coca-Cola\xae', 'splash')]"
5.2,6,Kanaan recipe,,"Prepare in a blender with a little ice, pour into a highball glass, and serve.","[(None, u'15 cl milk', None), (None, u'1  egg', None), (u'2', u'honey', 'tsp')]"
,,Kamora Tootsie Roll recipe,,Add ingredients to a tumbler with ice. ,"[(u'1 1/2', u'Kamora\xae coffee liqueur', 'oz'), (u'4', u'orange juice', 'oz')]"
,,Kampai Cocktail recipe,,"Pour the rum, triple sec, pineapple juice and sour mix into a cocktail shaker half-filled with ice cubes. Shake well, and strain into a highball glass filled with ice cubes. Add bitters. Garnish with a maraschino cherry, and serve.","[(u'1', u'dark rum', 'oz'), (u'1/4', u'triple sec', 'oz'), (u'1', u'pineapple juice', 'oz'), (u'1', u'sweet and sour mix', 'oz'), (u'2', u'bitters', 'dashes')]"
